selection,type,n_gen,pop_size,run_id,best_value,best_weight
roulette_rank,inviável_penalizada,100,200,0,13415655,6386025
roulette_rank,inviável_penalizada,100,200,1,13399518,6394465
roulette_rank,inviável_penalizada,100,200,2,13266994,6400522
roulette_rank,inviável_penalizada,100,200,3,13093873,6349322
roulette_rank,inviável_penalizada,100,200,4,13262764,6394107
roulette_rank,inviável_penalizada,100,200,5,13113200,6382039
roulette_rank,inviável_penalizada,100,200,6,12991117,6393412
roulette_rank,inviável_penalizada,100,200,7,13209635,6379279
roulette_rank,inviável_penalizada,100,200,8,13050248,6367701
roulette_rank,inviável_penalizada,100,200,9,13166420,6394347
roulette_rank,inviável_penalizada,100,100,0,12963759,6333882
roulette_rank,inviável_penalizada,100,100,1,13234086,6356519
roulette_rank,inviável_penalizada,100,100,2,13021895,6354837
roulette_rank,inviável_penalizada,100,100,3,12971198,6331320
roulette_rank,inviável_penalizada,100,100,4,13159840,6272542
roulette_rank,inviável_penalizada,100,100,5,13132792,6365449
roulette_rank,inviável_penalizada,100,100,6,12846978,6332047
roulette_rank,inviável_penalizada,100,100,7,13134933,6364689
roulette_rank,inviável_penalizada,100,100,8,13018888,6359168
roulette_rank,inviável_penalizada,100,100,9,13166420,6394347
roulette_rank,inviável_penalizada,200,200,0,13415655,6386025
roulette_rank,inviável_penalizada,200,200,1,13482886,6383545
roulette_rank,inviável_penalizada,200,200,2,13267375,6290876
roulette_rank,inviável_penalizada,200,200,3,13028852,6331564
roulette_rank,inviável_penalizada,200,200,4,13180528,6395086
roulette_rank,inviável_penalizada,200,200,5,13132792,6365449
roulette_rank,inviável_penalizada,200,200,6,13082575,6359716
roulette_rank,inviável_penalizada,200,200,7,13087745,6320954
roulette_rank,inviável_penalizada,200,200,8,13204600,6396232
roulette_rank,inviável_penalizada,200,200,9,13240885,6279382
roulette_rank,inviável_penalizada,200,100,0,13074864,6398914
roulette_rank,inviável_penalizada,200,100,1,13081047,6285987
roulette_rank,inviável_penalizada,200,100,2,13066305,6379536
roulette_rank,inviável_penalizada,200,100,3,12962863,6340342
roulette_rank,inviável_penalizada,200,100,4,13159840,6272542
roulette_rank,inviável_penalizada,200,100,5,13132792,6365449
roulette_rank,inviável_penalizada,200,100,6,13029741,6363376
roulette_rank,inviável_penalizada,200,100,7,13209635,6379279
roulette_rank,inviável_penalizada,200,100,8,13124308,6366723
roulette_rank,inviável_penalizada,200,100,9,13166420,6394347
roulette_rank,penalidade_severa,100,200,0,13415655,6386025
roulette_rank,penalidade_severa,100,200,1,13134186,6392383
roulette_rank,penalidade_severa,100,200,2,13267375,6290876
roulette_rank,penalidade_severa,100,200,3,13253400,6335250
roulette_rank,penalidade_severa,100,200,4,13087418,6353069
roulette_rank,penalidade_severa,100,200,5,13113200,6382039
roulette_rank,penalidade_severa,100,200,6,13070487,6386689
roulette_rank,penalidade_severa,100,200,7,13209635,6379279
roulette_rank,penalidade_severa,100,200,8,13069614,6375365
roulette_rank,penalidade_severa,100,200,9,13240504,6389028
roulette_rank,penalidade_severa,100,100,0,13252167,6398692
roulette_rank,penalidade_severa,100,100,1,13081047,6285987
roulette_rank,penalidade_severa,100,100,2,13066305,6379536
roulette_rank,penalidade_severa,100,100,3,12953967,6404140
roulette_rank,penalidade_severa,100,100,4,13159840,6272542
roulette_rank,penalidade_severa,100,100,5,13132792,6365449
roulette_rank,penalidade_severa,100,100,6,13070487,6386689
roulette_rank,penalidade_severa,100,100,7,13209635,6379279
roulette_rank,penalidade_severa,100,100,8,13144411,6402247
roulette_rank,penalidade_severa,100,100,9,13166420,6394347
roulette_rank,penalidade_severa,200,200,0,13415655,6386025
roulette_rank,penalidade_severa,200,200,1,13186796,6377834
roulette_rank,penalidade_severa,200,200,2,13062244,6393658
roulette_rank,penalidade_severa,200,200,3,13093873,6349322
roulette_rank,penalidade_severa,200,200,4,13262764,6394107
roulette_rank,penalidade_severa,200,200,5,13085151,6378246
roulette_rank,penalidade_severa,200,200,6,13166480,6373730
roulette_rank,penalidade_severa,200,200,7,13209635,6379279
roulette_rank,penalidade_severa,200,200,8,13126749,6341183
roulette_rank,penalidade_severa,200,200,9,13166420,6394347
roulette_rank,penalidade_severa,200,100,0,13234524,6394716
roulette_rank,penalidade_severa,200,100,1,13234086,6356519
roulette_rank,penalidade_severa,200,100,2,13066305,6379536
roulette_rank,penalidade_severa,200,100,3,12971198,6331320
roulette_rank,penalidade_severa,200,100,4,13151929,6365437
roulette_rank,penalidade_severa,200,100,5,13008057,6364607
roulette_rank,penalidade_severa,200,100,6,13162563,6287494
roulette_rank,penalidade_severa,200,100,7,13145016,6401618
roulette_rank,penalidade_severa,200,100,8,13144272,6398964
roulette_rank,penalidade_severa,200,100,9,12985236,6221279
tournament,inviável_penalizada,100,200,0,13081345,6400795
tournament,inviável_penalizada,100,200,1,13279916,6353078
tournament,inviável_penalizada,100,200,2,13266994,6400522
tournament,inviável_penalizada,100,200,3,13114346,6368002
tournament,inviável_penalizada,100,200,4,13262764,6394107
tournament,inviável_penalizada,100,200,5,13113200,6382039
tournament,inviável_penalizada,100,200,6,13088722,6363586
tournament,inviável_penalizada,100,200,7,13111411,6351107
tournament,inviável_penalizada,100,200,8,13138869,6364847
tournament,inviável_penalizada,100,200,9,13232257,6399892
tournament,inviável_penalizada,100,100,0,13056807,6281262
tournament,inviável_penalizada,100,100,1,13234086,6356519
tournament,inviável_penalizada,100,100,2,13199720,6347302
tournament,inviável_penalizada,100,100,3,12982631,6349983
tournament,inviável_penalizada,100,100,4,13207690,6386085
tournament,inviável_penalizada,100,100,5,13132792,6365449
tournament,inviável_penalizada,100,100,6,12974978,6272985
tournament,inviável_penalizada,100,100,7,13111411,6351107
tournament,inviável_penalizada,100,100,8,13020518,6322241
tournament,inviável_penalizada,100,100,9,13137894,6401457
tournament,inviável_penalizada,200,200,0,13085301,6382673
tournament,inviável_penalizada,200,200,1,13279916,6353078
tournament,inviável_penalizada,200,200,2,13267375,6290876
tournament,inviável_penalizada,200,200,3,13114346,6368002
tournament,inviável_penalizada,200,200,4,13262764,6394107
tournament,inviável_penalizada,200,200,5,13235570,6395526
tournament,inviável_penalizada,200,200,6,13200810,6393305
tournament,inviável_penalizada,200,200,7,13209635,6379279
tournament,inviável_penalizada,200,200,8,13259067,6397012
tournament,inviável_penalizada,200,200,9,13232257,6399892
tournament,inviável_penalizada,200,100,0,13136832,6336363
tournament,inviável_penalizada,200,100,1,13234086,6356519
tournament,inviável_penalizada,200,100,2,13066305,6379536
tournament,inviável_penalizada,200,100,3,12963224,6352767
tournament,inviável_penalizada,200,100,4,13180528,6395086
tournament,inviável_penalizada,200,100,5,13132792,6365449
tournament,inviável_penalizada,200,100,6,13189461,6382207
tournament,inviável_penalizada,200,100,7,13209635,6379279
tournament,inviável_penalizada,200,100,8,12973438,6392974
tournament,inviável_penalizada,200,100,9,13022950,6398166
tournament,penalidade_severa,100,200,0,13229276,6382256
tournament,penalidade_severa,100,200,1,13257699,6395090
tournament,penalidade_severa,100,200,2,13267375,6290876
tournament,penalidade_severa,100,200,3,13093873,6349322
tournament,penalidade_severa,100,200,4,13262764,6394107
tournament,penalidade_severa,100,200,5,13301007,6390134
tournament,penalidade_severa,100,200,6,13107913,6355966
tournament,penalidade_severa,100,200,7,13209635,6379279
tournament,penalidade_severa,100,200,8,13126358,6403566
tournament,penalidade_severa,100,200,9,13232257,6399892
tournament,penalidade_severa,100,100,0,13229276,6382256
tournament,penalidade_severa,100,100,1,13134186,6392383
tournament,penalidade_severa,100,100,2,13018595,6312213
tournament,penalidade_severa,100,100,3,12963224,6352767
tournament,penalidade_severa,100,100,4,13180528,6395086
tournament,penalidade_severa,100,100,5,13174736,6391556
tournament,penalidade_severa,100,100,6,13070487,6386689
tournament,penalidade_severa,100,100,7,13179164,6393652
tournament,penalidade_severa,100,100,8,13001563,6403081
tournament,penalidade_severa,100,100,9,13132983,6267631
tournament,penalidade_severa,200,200,0,13229276,6382256
tournament,penalidade_severa,200,200,1,13279916,6353078
tournament,penalidade_severa,200,200,2,13267375,6290876
tournament,penalidade_severa,200,200,3,13114346,6368002
tournament,penalidade_severa,200,200,4,13262764,6394107
tournament,penalidade_severa,200,200,5,13113200,6382039
tournament,penalidade_severa,200,200,6,13138112,6381794
tournament,penalidade_severa,200,200,7,13179164,6393652
tournament,penalidade_severa,200,200,8,13126358,6403566
tournament,penalidade_severa,200,200,9,13166845,6364944
tournament,penalidade_severa,200,100,0,13056807,6281262
tournament,penalidade_severa,200,100,1,13234086,6356519
tournament,penalidade_severa,200,100,2,12989272,6273149
tournament,penalidade_severa,200,100,3,12963224,6352767
tournament,penalidade_severa,200,100,4,13180528,6395086
tournament,penalidade_severa,200,100,5,13132792,6365449
tournament,penalidade_severa,200,100,6,13004596,6401044
tournament,penalidade_severa,200,100,7,13111411,6351107
tournament,penalidade_severa,200,100,8,12965108,6394747
tournament,penalidade_severa,200,100,9,13132602,6377277
