selection,type,n_gen,pop_size,mean,std,best_value,worst_value
roulette_rank,inviável_penalizada,100,100,13065078.9,119221.33488921633,13234086,12846978
roulette_rank,inviável_penalizada,100,200,13196942.4,141705.460120005,13415655,12991117
roulette_rank,inviável_penalizada,200,100,13100781.5,72680.14669350126,13209635,12962863
roulette_rank,inviável_penalizada,200,200,13212389.3,145985.64690791402,13482886,13028852
roulette_rank,penalidade_severa,100,100,13123707.1,84515.40351839892,13252167,12953967
roulette_rank,penalidade_severa,100,200,13186147.4,111568.13917383026,13415655,13069614
roulette_rank,penalidade_severa,200,100,13110318.6,97158.41951072596,13234524,12971198
roulette_rank,penalidade_severa,200,200,13177576.7,103672.774739723,13415655,13062244
tournament,inviável_penalizada,100,100,13105852.7,93931.54514627476,13234086,12974978
tournament,inviável_penalizada,100,200,13168982.4,81070.16292241351,13279916,13081345
tournament,inviável_penalizada,200,100,13110925.1,98614.24331364245,13234086,12963224
tournament,inviável_penalizada,200,200,13214704.1,65898.7260784809,13279916,13085301
tournament,penalidade_severa,100,100,13108474.2,89742.34731818523,13229276,12963224
tournament,penalidade_severa,100,200,13208815.7,73325.50308051864,13301007,13093873
tournament,penalidade_severa,200,100,13077042.6,95215.30158914122,13234086,12963224
tournament,penalidade_severa,200,200,13187735.6,66563.01594429166,13279916,13113200